fork_point,seed,fork_step,branch,step,return
seed1_at100k,1,100000,base,100001,71.57
seed1_at100k,1,100000,base,110001,0.11
seed1_at100k,1,100000,base,120001,0.4
seed1_at100k,1,100000,base,130001,152.27
seed1_at100k,1,100000,base,140001,0.26
seed1_at100k,1,100000,base,150001,0.09
seed1_at100k,1,100000,base,160001,5.21
seed1_at100k,1,100000,base,170001,22.82
seed1_at100k,1,100000,base,180001,60.01
seed1_at100k,1,100000,base,190001,85.0
seed1_at100k,1,100000,base,200001,3.39
seed1_at100k,1,100000,base,210001,1.76
seed1_at100k,1,100000,oracle,100001,69.29
seed1_at100k,1,100000,oracle,110001,2.53
seed1_at100k,1,100000,oracle,120001,120.82
seed1_at100k,1,100000,oracle,130001,191.87
seed1_at100k,1,100000,oracle,140001,318.26
seed1_at100k,1,100000,oracle,150001,407.15
seed1_at100k,1,100000,oracle,160001,197.84
seed1_at100k,1,100000,oracle,170001,368.89
seed1_at100k,1,100000,oracle,180001,3.2
seed1_at100k,1,100000,oracle,190001,1.4
seed1_at100k,1,100000,oracle,200001,187.84
seed1_at100k,1,100000,oracle,210001,186.65
seed1_at100k,1,100000,mf,100001,69.85
seed1_at100k,1,100000,mf,110001,244.95
seed1_at100k,1,100000,mf,120001,8.35
seed1_at100k,1,100000,mf,130001,10.19
seed1_at100k,1,100000,mf,140001,22.36
seed1_at100k,1,100000,mf,150001,28.87
seed1_at100k,1,100000,mf,160001,56.97
seed1_at100k,1,100000,mf,170001,18.3
seed1_at100k,1,100000,mf,180001,0.99
seed1_at100k,1,100000,mf,190001,5.99
seed1_at100k,1,100000,mf,200001,109.69
seed1_at100k,1,100000,mf,210001,119.0
seed5_at124k,5,124245,base,124246,130.03
seed5_at124k,5,124245,base,134246,3.82
seed5_at124k,5,124245,base,144246,24.52
seed5_at124k,5,124245,base,154246,17.24
seed5_at124k,5,124245,base,164246,225.67
seed5_at124k,5,124245,base,174246,67.82
seed5_at124k,5,124245,base,184246,279.64
seed5_at124k,5,124245,base,194246,91.45
seed5_at124k,5,124245,base,204246,212.07
seed5_at124k,5,124245,base,214246,346.97
seed5_at124k,5,124245,base,224246,405.24
seed5_at124k,5,124245,base,234246,479.44
seed5_at124k,5,124245,oracle,124246,128.8
seed5_at124k,5,124245,oracle,134246,22.54
seed5_at124k,5,124245,oracle,144246,4.1
seed5_at124k,5,124245,oracle,154246,387.67
seed5_at124k,5,124245,oracle,164246,498.1
seed5_at124k,5,124245,oracle,174246,480.96
seed5_at124k,5,124245,oracle,184246,492.26
seed5_at124k,5,124245,oracle,194246,523.56
seed5_at124k,5,124245,oracle,204246,438.41
seed5_at124k,5,124245,oracle,214246,515.08
seed5_at124k,5,124245,oracle,224246,458.13
seed5_at124k,5,124245,oracle,234246,536.99
seed5_at124k,5,124245,mf,124246,127.76
seed5_at124k,5,124245,mf,134246,23.14
seed5_at124k,5,124245,mf,144246,408.29
seed5_at124k,5,124245,mf,154246,451.02
seed5_at124k,5,124245,mf,164246,457.46
seed5_at124k,5,124245,mf,174246,662.68
seed5_at124k,5,124245,mf,184246,422.44
seed5_at124k,5,124245,mf,194246,475.07
seed5_at124k,5,124245,mf,204246,404.66
seed5_at124k,5,124245,mf,214246,433.26
seed5_at124k,5,124245,mf,224246,445.73
seed5_at124k,5,124245,mf,234246,434.36
seed11_at356k,11,355856,base,355857,414.29
seed11_at356k,11,355856,base,365857,636.55
seed11_at356k,11,355856,base,375857,771.19
seed11_at356k,11,355856,base,385857,0.03
seed11_at356k,11,355856,base,395857,904.59
seed11_at356k,11,355856,base,405857,1008.83
seed11_at356k,11,355856,base,415857,860.83
seed11_at356k,11,355856,base,425857,1012.63
seed11_at356k,11,355856,base,435857,382.7
seed11_at356k,11,355856,base,445857,414.29
seed11_at356k,11,355856,base,455857,779.59
seed11_at356k,11,355856,base,465857,909.22
seed11_at356k,11,355856,oracle,355857,431.4
seed11_at356k,11,355856,oracle,365857,1394.53
seed11_at356k,11,355856,oracle,375857,1255.13
seed11_at356k,11,355856,oracle,385857,1191.73
seed11_at356k,11,355856,oracle,395857,1307.59
seed11_at356k,11,355856,oracle,405857,1369.14
seed11_at356k,11,355856,oracle,415857,1198.79
seed11_at356k,11,355856,oracle,425857,1158.39
seed11_at356k,11,355856,oracle,435857,1173.88
seed11_at356k,11,355856,oracle,445857,1237.56
seed11_at356k,11,355856,oracle,455857,1191.48
seed11_at356k,11,355856,oracle,465857,1047.25
seed11_at356k,11,355856,mf,355857,417.9
seed11_at356k,11,355856,mf,365857,1234.15
seed11_at356k,11,355856,mf,375857,1330.29
seed11_at356k,11,355856,mf,385857,420.17
seed11_at356k,11,355856,mf,395857,763.94
seed11_at356k,11,355856,mf,405857,1188.23
seed11_at356k,11,355856,mf,415857,1269.07
seed11_at356k,11,355856,mf,425857,1309.6
seed11_at356k,11,355856,mf,435857,1456.0
seed11_at356k,11,355856,mf,445857,972.13
seed11_at356k,11,355856,mf,455857,1505.81
seed11_at356k,11,355856,mf,465857,1272.8
ctrl_seed6_at239k,6,238921,base,238922,1154.45
ctrl_seed6_at239k,6,238921,base,248922,1170.73
ctrl_seed6_at239k,6,238921,base,258922,1033.67
ctrl_seed6_at239k,6,238921,base,268922,1255.87
ctrl_seed6_at239k,6,238921,base,278922,1517.57
ctrl_seed6_at239k,6,238921,base,288922,1676.85
ctrl_seed6_at239k,6,238921,base,298922,1324.39
ctrl_seed6_at239k,6,238921,base,308922,1407.43
ctrl_seed6_at239k,6,238921,base,318922,1256.03
ctrl_seed6_at239k,6,238921,base,328922,1196.7
ctrl_seed6_at239k,6,238921,base,338922,1558.25
ctrl_seed6_at239k,6,238921,base,348922,1286.9
ctrl_seed6_at239k,6,238921,oracle,238922,1135.12
ctrl_seed6_at239k,6,238921,oracle,248922,1548.85
ctrl_seed6_at239k,6,238921,oracle,258922,1562.27
ctrl_seed6_at239k,6,238921,oracle,268922,1266.39
ctrl_seed6_at239k,6,238921,oracle,278922,1708.35
ctrl_seed6_at239k,6,238921,oracle,288922,1692.45
ctrl_seed6_at239k,6,238921,oracle,298922,1688.44
ctrl_seed6_at239k,6,238921,oracle,308922,1114.38
ctrl_seed6_at239k,6,238921,oracle,318922,1703.13
ctrl_seed6_at239k,6,238921,oracle,328922,1683.23
ctrl_seed6_at239k,6,238921,oracle,338922,1140.73
ctrl_seed6_at239k,6,238921,oracle,348922,1104.61
ctrl_seed6_at239k,6,238921,mf,238922,1133.64
ctrl_seed6_at239k,6,238921,mf,248922,1217.16
ctrl_seed6_at239k,6,238921,mf,258922,1679.75
ctrl_seed6_at239k,6,238921,mf,268922,1303.64
ctrl_seed6_at239k,6,238921,mf,278922,1689.99
ctrl_seed6_at239k,6,238921,mf,288922,1371.34
ctrl_seed6_at239k,6,238921,mf,298922,1433.72
ctrl_seed6_at239k,6,238921,mf,308922,1640.22
ctrl_seed6_at239k,6,238921,mf,318922,1715.09
ctrl_seed6_at239k,6,238921,mf,328922,1702.34
ctrl_seed6_at239k,6,238921,mf,338922,866.58
ctrl_seed6_at239k,6,238921,mf,348922,1621.07
