seed,step,distribution,n_states,eps_T_rms,eps_T_bias,eps_T_p95,eps_T_p99,rel_eps_T_over_dVoracle,dV_sign_err_frac,dV_spearman,target_spearman,rms_target_learned,rms_target_oracle
0,100000,onpolicy,1500,0.0881,0.0038,0.0805,0.4122,0.3396,0.026,0.9906,0.9997,14.4968,14.4982
0,100000,ou,1500,0.0796,-0.0085,0.1653,0.323,0.4313,0.1007,0.8843,0.9996,6.6858,6.6893
0,126087,onpolicy,1500,0.0587,-0.0077,0.1329,0.2574,0.2344,0.0187,0.989,1.0,27.2435,27.2489
0,126087,ou,1500,0.079,-0.0116,0.1725,0.297,0.3859,0.0773,0.9296,0.9996,6.8801,6.8879
0,152696,onpolicy,1500,0.0677,-0.0056,0.0573,0.3204,0.2295,0.0173,0.9874,0.9999,20.508,20.5109
0,152696,ou,1500,0.0641,-0.0166,0.1312,0.1784,0.3373,0.034,0.9609,0.9996,6.5307,6.5456
0,180055,onpolicy,1500,0.0143,0.0011,0.0335,0.0507,0.063,0.0107,0.9984,1.0,34.8993,34.8971
0,180055,ou,1500,0.091,-0.0179,0.1246,0.1953,0.3849,0.0853,0.9487,0.9996,6.5793,6.5991
0,210088,onpolicy,1500,0.1433,-0.011,0.0334,0.1651,0.5323,0.022,0.9897,1.0,28.5203,28.5256
0,210088,ou,1500,0.0875,-0.0137,0.1805,0.2467,0.3621,0.076,0.9352,0.9994,7.0712,7.0805
0,240065,onpolicy,1500,0.0464,0.0004,0.0788,0.2372,0.1809,0.046,0.9891,0.9999,22.8422,22.8439
0,240065,ou,1500,0.1071,-0.0254,0.215,0.4049,0.3783,0.0827,0.8998,0.9992,7.6194,7.6389
0,269506,onpolicy,1500,0.0516,-0.0055,0.0629,0.2115,0.2102,0.0267,0.984,1.0,30.4448,30.4471
0,269506,ou,1500,0.1095,-0.0299,0.1984,0.3742,0.3632,0.076,0.9026,0.9992,7.7452,7.7703
0,299245,onpolicy,1500,0.0389,-0.0039,0.0675,0.1381,0.1744,0.0167,0.9915,1.0,24.5664,24.5673
0,299245,ou,1500,0.1094,-0.0319,0.1948,0.3608,0.3174,0.0867,0.8885,0.9991,7.4083,7.4342
0,328896,onpolicy,1500,0.0469,-0.0044,0.0395,0.1025,0.2577,0.014,0.997,1.0,28.0582,28.0629
0,328896,ou,1500,0.1225,-0.04,0.2094,0.4715,0.387,0.0927,0.8649,0.9989,7.802,7.8388
0,358881,onpolicy,1500,0.0523,-0.0039,0.0376,0.1489,0.3607,0.016,0.989,1.0,40.7745,40.7762
0,358881,ou,1500,0.1111,-0.041,0.2287,0.4149,0.3781,0.0873,0.8871,0.9993,7.3738,7.4131
0,388628,onpolicy,1500,0.0491,-0.0051,0.0351,0.1018,0.2991,0.0147,0.9904,1.0,36.4226,36.4268
0,388628,ou,1500,0.1107,-0.041,0.2549,0.4015,0.3766,0.118,0.8611,0.9988,7.271,7.3106
0,418524,onpolicy,1500,0.0801,-0.0128,0.0851,0.3995,0.2934,0.0213,0.9679,1.0,30.0875,30.0922
0,418524,ou,1500,0.1235,-0.0405,0.2014,0.4459,0.3462,0.088,0.9008,0.999,7.1557,7.1943
0,445244,onpolicy,1500,0.0377,-0.0022,0.0754,0.1031,0.1567,0.0153,0.9939,1.0,29.547,29.5475
0,445244,ou,1500,0.1272,-0.0287,0.2184,0.4585,0.3526,0.076,0.8984,0.9989,6.945,6.9715
0,471958,onpolicy,1500,0.0377,-0.0046,0.0334,0.0716,0.2657,0.016,0.9952,1.0,42.6779,42.6801
0,471958,ou,1500,0.1278,-0.0266,0.2591,0.413,0.3509,0.1027,0.8877,0.9989,7.0607,7.0841
0,498725,onpolicy,1500,0.0595,-0.007,0.0207,0.0677,0.3738,0.0333,0.9887,0.9999,43.2161,43.2193
0,498725,ou,1500,0.1197,-0.0231,0.2923,0.3939,0.3804,0.102,0.8627,0.9984,6.9933,7.0101
1,100000,onpolicy,1500,125.1849,13.5566,59.1657,434.6009,0.6146,0.0227,0.9776,0.9995,2293.9431,2298.4708
1,100000,ou,1500,744.0455,-108.3647,513.8281,2715.9072,0.555,0.314,0.6697,0.9881,4857.3293,4835.9599
1,126079,onpolicy,1500,117.8285,-8.311,64.1523,808.609,0.3849,0.0333,0.9924,0.9998,4919.4086,4878.6569
1,126079,ou,1500,502.994,-37.9146,320.1602,2033.724,0.4544,0.124,0.9115,0.9994,9277.4938,9194.2065
1,153070,onpolicy,1500,3.9981,-0.0429,8.2366,12.3708,0.1048,0.0373,0.995,0.9997,416.5043,416.2683
1,153070,ou,1500,138.1204,8.6373,180.7569,288.3891,0.3534,0.1133,0.8894,0.9985,2343.5334,2367.8055
1,180169,onpolicy,1500,16.3234,0.9148,33.5039,69.4857,0.2914,0.058,0.9645,0.9988,797.9968,799.3321
1,180169,ou,1500,96.4969,-12.9098,118.9034,251.3409,0.4587,0.144,0.845,0.9967,2275.6343,2262.5221
1,209984,onpolicy,1500,6.0833,0.0159,13.3803,21.8071,0.1621,0.04,0.9861,0.9996,401.868,402.2536
1,209984,ou,1500,104.0377,-10.0646,79.9447,149.4103,0.3711,0.124,0.8517,0.9949,2408.9587,2393.1675
1,239957,onpolicy,1500,3.5302,0.0152,7.6236,12.4509,0.1716,0.0367,0.9838,0.9994,200.3542,200.6772
1,239957,ou,1500,77.9215,-2.3045,67.4666,131.6573,0.3805,0.172,0.7931,0.9954,1791.9215,1785.3388
1,269442,onpolicy,1500,5.8186,0.4187,11.6527,25.5271,0.2091,0.0493,0.972,0.9995,297.4312,298.3221
1,269442,ou,1500,67.9486,-5.2086,61.832,142.5849,0.3755,0.2,0.7237,0.9971,1430.6996,1423.7566
1,298945,onpolicy,1500,6.2539,-0.0404,9.5586,18.0698,0.2797,0.0627,0.9645,0.9996,245.7025,245.7094
1,298945,ou,1500,53.2563,-2.1913,70.1424,126.9831,0.3095,0.2153,0.6882,0.9976,1311.3019,1310.6609
1,328272,onpolicy,1500,3.1727,0.089,6.0502,11.9168,0.1961,0.0613,0.9752,0.9995,163.3594,163.3524
1,328272,ou,1500,43.6465,-0.9506,67.8128,100.6924,0.3214,0.198,0.7314,0.9973,1203.4604,1206.8901
1,358020,onpolicy,1500,2.0635,0.1254,4.3702,7.0624,0.159,0.0267,0.9867,0.9997,188.2311,188.3599
1,358020,ou,1500,37.5712,-1.6647,57.5291,119.1236,0.3374,0.2013,0.7531,0.9971,1171.1839,1173.2332
1,387737,onpolicy,1500,5.2645,0.2411,10.7541,19.6553,0.3961,0.0753,0.9248,0.9971,144.5406,144.8166
1,387737,ou,1500,37.5687,-3.0232,56.7783,111.0478,0.3607,0.2027,0.7269,0.9982,1180.993,1180.4338
1,417298,onpolicy,1500,6.0712,0.0829,8.0332,19.5455,0.3534,0.056,0.9587,0.9986,157.2183,157.245
1,417298,ou,1500,34.0877,0.0508,52.2067,110.362,0.3709,0.1727,0.7583,0.9974,982.2323,981.3828
1,443728,onpolicy,1500,3.0303,0.152,7.312,10.7927,0.1834,0.064,0.9749,0.9993,253.6454,253.7689
1,443728,ou,1500,35.2182,2.4666,46.3169,127.5979,0.4657,0.2153,0.7089,0.9972,970.5103,971.9606
1,470001,onpolicy,1500,4.051,-0.2162,8.938,18.1983,0.2676,0.0553,0.9626,0.9995,217.4129,216.8411
1,470001,ou,1500,40.5323,-0.6993,47.6952,155.6241,0.5255,0.2067,0.7294,0.997,988.3365,986.3428
1,496516,onpolicy,1500,6.9627,0.142,15.9665,31.7152,0.4149,0.11,0.8771,0.9969,291.2522,291.4567
1,496516,ou,1500,38.5813,-1.4274,40.7644,164.6901,0.4583,0.1993,0.79,0.9969,877.786,879.4843
2,100000,onpolicy,1500,0.0244,-0.0034,0.0515,0.0991,0.1102,0.0187,0.9944,1.0,13.6094,13.6144
2,100000,ou,1500,0.1329,-0.0173,0.2359,0.4092,0.5066,0.086,0.9107,0.9992,8.4371,8.4533
2,125519,onpolicy,1500,0.0503,-0.0022,0.103,0.2111,0.171,0.0273,0.9896,1.0,22.9422,22.9463
2,125519,ou,1500,0.141,-0.0217,0.2821,0.4518,0.5276,0.096,0.9187,0.9984,8.2406,8.2711
2,152666,onpolicy,1500,0.0646,-0.0005,0.1028,0.2145,0.2306,0.0373,0.9718,1.0,21.9894,21.9937
2,152666,ou,1500,0.1326,-0.033,0.2231,0.4162,0.4772,0.1007,0.9072,0.9983,8.185,8.2144
2,180479,onpolicy,1500,0.0302,-0.0006,0.0672,0.1083,0.1266,0.0187,0.9928,1.0,28.6388,28.6381
2,180479,ou,1500,0.1694,-0.0365,0.2502,0.4052,0.4867,0.1007,0.8968,0.9989,8.8189,8.8565
2,210390,onpolicy,1500,0.0271,-0.0029,0.0421,0.0696,0.1682,0.0407,0.9823,1.0,37.7028,37.7058
2,210390,ou,1500,0.1506,-0.0391,0.278,0.3809,0.4996,0.096,0.905,0.999,8.8304,8.8739
2,240221,onpolicy,1500,0.0285,-0.0018,0.037,0.1409,0.1207,0.0147,0.9914,1.0,33.0464,33.0472
2,240221,ou,1500,0.1389,-0.0376,0.3346,0.4804,0.4795,0.058,0.9276,0.9991,9.1961,9.2406
2,270088,onpolicy,1500,0.02,-0.0033,0.0342,0.0939,0.1353,0.0093,0.9978,1.0,42.2478,42.2504
2,270088,ou,1500,0.1444,-0.0385,0.3727,0.5484,0.5513,0.0907,0.9158,0.9991,9.1987,9.2474
2,299977,onpolicy,1500,0.0209,-0.0011,0.038,0.0673,0.098,0.0293,0.9957,1.0,35.4186,35.4197
2,299977,ou,1500,0.1528,-0.0404,0.3715,0.6035,0.5136,0.0733,0.9244,0.9991,9.626,9.6721
2,329518,onpolicy,1500,0.0157,-0.002,0.0222,0.0559,0.101,0.0153,0.9982,1.0,37.7518,37.7541
2,329518,ou,1500,0.1694,-0.037,0.4009,0.7637,0.5009,0.074,0.9272,0.9994,9.4843,9.5266
2,359359,onpolicy,1500,0.0237,-0.0053,0.0361,0.0592,0.1389,0.0327,0.9927,1.0,36.6755,36.6804
2,359359,ou,1500,0.1726,-0.0429,0.397,0.7152,0.5302,0.0513,0.9431,0.9993,9.1408,9.1908
2,389020,onpolicy,1500,0.0267,-0.0056,0.0604,0.0932,0.1313,0.0513,0.9897,1.0,34.4311,34.4363
2,389020,ou,1500,0.1698,-0.0468,0.3975,0.7594,0.5361,0.038,0.9321,0.999,9.334,9.3862
2,418857,onpolicy,1500,0.0395,-0.0048,0.0817,0.1095,0.142,0.0193,0.9921,1.0,25.5652,25.5707
2,418857,ou,1500,0.18,-0.0508,0.3981,0.8876,0.5787,0.0567,0.921,0.9991,9.4753,9.5335
2,445367,onpolicy,1500,0.08,-0.0022,0.0876,0.1734,0.2624,0.0407,0.9887,1.0,26.6131,26.6187
2,445367,ou,1500,0.2092,-0.0521,0.4482,1.0704,0.6508,0.0613,0.9038,0.9988,9.3525,9.4101
2,472417,onpolicy,1500,0.0151,-0.0019,0.0183,0.0322,0.1062,0.0513,0.9759,1.0,42.2503,42.2515
2,472417,ou,1500,0.1984,-0.0592,0.4358,1.0086,0.6527,0.0707,0.9073,0.999,9.6188,9.684
2,498536,onpolicy,1500,0.0315,-0.0059,0.0855,0.1197,0.2323,0.018,0.9846,1.0,40.5211,40.5267
2,498536,ou,1500,0.1984,-0.0473,0.4046,1.056,0.6468,0.0587,0.9159,0.9991,9.6236,9.6764
3,100000,onpolicy,1500,0.1617,-0.0278,0.3665,0.6087,0.6,0.226,0.7899,0.9989,12.2842,12.3255
3,100000,ou,1500,0.2951,-0.0034,0.2641,1.0147,0.7692,0.178,0.8425,0.9977,7.6243,7.6198
3,124221,onpolicy,1500,0.1568,-0.0071,0.3658,0.5281,0.5565,0.144,0.8458,0.9997,17.8609,17.8682
3,124221,ou,1500,0.2453,-0.0042,0.1798,0.9086,0.6778,0.15,0.846,0.9979,7.2445,7.2403
3,150858,onpolicy,1500,0.1411,0.0007,0.3127,0.502,0.5749,0.1227,0.8345,0.9994,11.3688,11.3681
3,150858,ou,1500,0.1656,-0.0007,0.1737,0.6616,0.6197,0.08,0.9059,0.9993,7.1694,7.1752
3,177959,onpolicy,1500,0.1234,0.019,0.2994,0.4941,0.6602,0.1453,0.8192,0.9994,9.8457,9.8184
3,177959,ou,1500,0.219,-0.0055,0.1993,1.1357,0.7335,0.142,0.9015,0.9991,6.8029,6.799
3,207864,onpolicy,1500,0.1464,-0.0273,0.3318,0.5138,0.5379,0.172,0.8412,0.9997,19.3183,19.3398
3,207864,ou,1500,0.1688,-0.0075,0.2038,0.9014,0.8449,0.146,0.8179,0.9993,6.2209,6.2229
3,237719,onpolicy,1500,0.0823,-0.0072,0.1175,0.2269,0.3032,0.0227,0.9821,0.9998,15.1658,15.1684
3,237719,ou,1500,0.0924,-0.0152,0.1687,0.3438,0.3731,0.0853,0.947,0.9992,7.3114,7.322
3,267590,onpolicy,1500,0.0927,-0.0066,0.1692,0.4167,0.3087,0.0273,0.9766,0.9999,20.4196,20.4221
3,267590,ou,1500,0.1216,-0.0222,0.1361,0.5089,0.4417,0.0953,0.944,0.9992,7.3443,7.3607
3,297487,onpolicy,1500,0.0495,-0.0082,0.1059,0.1633,0.19,0.0247,0.9899,1.0,14.7325,14.7375
3,297487,ou,1500,0.1247,-0.0232,0.1482,0.55,0.4099,0.0513,0.9686,0.9992,7.2954,7.3173
3,327174,onpolicy,1500,0.0645,0.0168,0.1113,0.1635,0.2021,0.0313,0.9857,1.0,20.368,20.3495
3,327174,ou,1500,0.1134,-0.0294,0.1808,0.4171,0.4404,0.064,0.9488,0.9992,7.2294,7.2641
3,356717,onpolicy,1500,0.0674,0.0017,0.1113,0.1909,0.1679,0.034,0.991,0.9999,19.7814,19.7758
3,356717,ou,1500,0.13,-0.0342,0.1968,0.5011,0.4421,0.0547,0.9526,0.9993,7.1322,7.1652
3,386418,onpolicy,1500,0.1333,-0.0345,0.2018,0.391,0.4445,0.0707,0.9551,0.9999,30.048,30.0842
3,386418,ou,1500,0.1328,-0.046,0.2562,0.5614,0.5521,0.1,0.9107,0.999,6.7781,6.8245
3,416219,onpolicy,1500,0.1747,-0.0081,0.1583,0.3011,0.4397,0.0313,0.9774,0.9999,23.6371,23.6344
3,416219,ou,1500,0.1456,-0.0419,0.1919,0.5755,0.4681,0.0853,0.9205,0.9993,6.7414,6.7828
3,442340,onpolicy,1500,0.1331,-0.0061,0.126,0.2729,0.4126,0.042,0.986,0.9998,20.7785,20.7752
3,442340,ou,1500,0.1285,-0.0412,0.2081,0.586,0.4599,0.0853,0.9148,0.9995,6.8371,6.8814
3,468712,onpolicy,1500,0.082,0.0021,0.1621,0.2883,0.2394,0.0413,0.9819,0.9999,21.0299,21.0214
3,468712,ou,1500,0.161,-0.0499,0.2338,0.7205,0.4568,0.0533,0.909,0.9992,7.1749,7.2254
3,495480,onpolicy,1500,0.1036,-0.0083,0.1292,0.4773,0.3396,0.0373,0.9782,1.0,21.2862,21.2941
3,495480,ou,1500,0.1306,-0.0436,0.2086,0.5596,0.4888,0.068,0.919,0.9992,7.059,7.103
4,100000,onpolicy,1500,0.1106,-0.0005,0.106,0.2163,0.3528,0.0333,0.9737,0.9996,14.4573,14.4636
4,100000,ou,1500,0.1409,-0.0114,0.245,0.697,0.6459,0.0593,0.8894,0.9996,8.14,8.1433
4,124179,onpolicy,1500,0.1058,-0.0081,0.1159,0.3668,0.2549,0.04,0.9761,0.9998,13.5282,13.536
4,124179,ou,1500,0.1346,-0.0118,0.2147,0.5698,0.498,0.0633,0.8989,0.9991,7.5708,7.5726
4,150837,onpolicy,1500,0.1041,-0.0159,0.1989,0.4894,0.4432,0.1127,0.9025,0.9995,13.3857,13.3983
4,150837,ou,1500,0.1674,-0.0334,0.2633,0.4932,0.433,0.072,0.9121,0.9987,7.0789,7.0941
4,177724,onpolicy,1500,0.0898,-0.0014,0.0827,0.634,0.2534,0.0233,0.9891,1.0,22.565,22.5621
4,177724,ou,1500,0.1527,-0.0342,0.2785,0.4241,0.4349,0.0907,0.917,0.999,7.0781,7.0975
4,207514,onpolicy,1500,0.0662,-0.0025,0.0697,0.3095,0.2247,0.0113,0.9924,1.0,21.3407,21.3449
4,207514,ou,1500,0.148,-0.028,0.2279,0.4554,0.4125,0.0827,0.9245,0.9991,7.0979,7.1183
4,237327,onpolicy,1500,0.0451,-0.0155,0.0947,0.1576,0.1651,0.0347,0.9846,0.9999,14.444,14.4559
4,237327,ou,1500,0.159,-0.0258,0.2346,0.3334,0.4261,0.096,0.9201,0.999,7.3547,7.3776
4,267018,onpolicy,1500,0.0354,-0.0039,0.0634,0.1421,0.1308,0.0127,0.9953,1.0,26.6012,26.6043
4,267018,ou,1500,0.2016,-0.0377,0.243,0.3853,0.445,0.062,0.9237,0.9991,7.1382,7.1666
4,296497,onpolicy,1500,0.0864,0.0081,0.1783,0.315,0.2633,0.0393,0.9751,0.9999,16.6186,16.6092
4,296497,ou,1500,0.2045,-0.0385,0.3207,0.5871,0.448,0.082,0.8983,0.9984,7.0503,7.08
4,325948,onpolicy,1500,0.0204,-0.0028,0.0381,0.0709,0.0841,0.018,0.9975,1.0,30.519,30.5217
4,325948,ou,1500,0.187,-0.0442,0.3484,0.5558,0.5025,0.0733,0.9037,0.9987,7.2537,7.2925
4,355757,onpolicy,1500,0.0569,0.0003,0.1407,0.2121,0.2152,0.0247,0.988,0.9999,20.2221,20.2209
4,355757,ou,1500,0.1873,-0.0585,0.3982,0.6435,0.5094,0.102,0.8892,0.9987,7.5878,7.6427
4,385512,onpolicy,1500,0.0261,-0.0035,0.0411,0.0952,0.1133,0.0313,0.9966,1.0,34.0162,34.0198
4,385512,ou,1500,0.2032,-0.0474,0.3595,0.7284,0.4322,0.094,0.9156,0.9981,7.2552,7.3017
4,415257,onpolicy,1500,0.0372,-0.0031,0.0496,0.1831,0.1755,0.0233,0.9957,1.0,35.6441,35.6458
4,415257,ou,1500,0.2427,-0.0596,0.3861,0.8388,0.4577,0.0713,0.9111,0.9985,7.0899,7.1481
4,442080,onpolicy,1500,0.0869,0.0087,0.1865,0.456,0.298,0.014,0.9698,0.9999,19.9695,19.9636
4,442080,ou,1500,0.2394,-0.0482,0.3604,0.7754,0.5257,0.0807,0.9035,0.998,7.3592,7.407
4,468577,onpolicy,1500,0.0492,-0.0098,0.056,0.2304,0.1836,0.0107,0.9939,1.0,29.754,29.7594
4,468577,ou,1500,0.2268,-0.0383,0.392,0.737,0.5385,0.0787,0.8956,0.9976,7.6405,7.6767
4,494886,onpolicy,1500,0.0456,-0.0112,0.059,0.1609,0.1707,0.024,0.995,1.0,30.3897,30.3978
4,494886,ou,1500,0.2341,-0.0342,0.3846,0.8266,0.5139,0.0687,0.9272,0.9981,7.6148,7.6545
5,100000,onpolicy,1500,0.1551,0.0038,0.3317,0.7158,0.4423,0.09,0.9231,0.9987,5.232,5.2548
5,100000,ou,1500,0.1936,-0.0298,0.4215,0.7996,0.5227,0.1,0.9037,0.9979,3.924,3.944
5,124245,onpolicy,1500,0.5133,0.2761,1.1582,1.5309,0.9546,0.2413,0.6044,0.9915,16.705,16.995
5,124245,ou,1500,0.4836,0.08,0.9277,2.4851,0.5228,0.1367,0.8567,0.9983,23.7202,23.7925
5,150602,onpolicy,1500,0.1609,0.0304,0.4017,0.7084,0.4713,0.0733,0.9099,0.9969,13.3318,13.3616
5,150602,ou,1500,0.4169,0.0751,1.0222,1.6762,0.4835,0.1413,0.834,0.9978,22.018,22.1018
5,178445,onpolicy,1500,0.0395,0.0047,0.0762,0.1565,0.1296,0.0407,0.9868,0.9998,7.3077,7.3158
5,178445,ou,1500,0.1519,-0.0128,0.2866,0.6955,0.3659,0.0773,0.9081,0.9988,8.9641,8.9503
5,208144,onpolicy,1500,0.1094,-0.0135,0.0895,0.6482,0.7625,0.0473,0.9002,0.9992,2.0091,2.0076
5,208144,ou,1500,0.0626,-0.0133,0.117,0.2431,0.3709,0.1367,0.8543,0.999,2.1284,2.1177
5,237735,onpolicy,1500,0.1509,-0.0291,0.2248,0.7507,0.6673,0.102,0.862,0.9994,5.7385,5.7806
5,237735,ou,1500,0.0426,-0.0093,0.0758,0.1718,0.2932,0.0987,0.9416,0.9996,3.0726,3.0823
5,267390,onpolicy,1500,0.1307,-0.014,0.2457,0.5908,0.4996,0.086,0.8737,0.9987,8.1884,8.2011
5,267390,ou,1500,0.0443,-0.0072,0.0843,0.1869,0.3886,0.0847,0.9352,0.9993,4.1234,4.1309
5,296891,onpolicy,1500,0.0979,-0.0182,0.1606,0.5178,0.3749,0.0493,0.9449,0.9996,8.5889,8.6041
5,296891,ou,1500,0.0464,-0.0091,0.0976,0.2029,0.3942,0.1107,0.9191,0.9992,4.6747,4.6866
5,326535,onpolicy,1500,0.0831,0.0026,0.1556,0.3431,0.3678,0.0493,0.9455,0.9995,9.9856,9.9871
5,326535,ou,1500,0.043,-0.0094,0.0981,0.1616,0.3281,0.078,0.9288,0.9997,4.9559,4.9659
5,356413,onpolicy,1500,0.0822,-0.0133,0.1405,0.3959,0.217,0.0353,0.9753,0.9998,12.5184,12.5227
5,356413,ou,1500,0.0439,-0.011,0.0978,0.1822,0.2945,0.0727,0.9368,0.9997,5.1011,5.1157
5,385696,onpolicy,1500,0.0875,-0.0146,0.1345,0.4987,0.3287,0.0467,0.9516,0.9997,9.9276,9.9361
5,385696,ou,1500,0.0516,-0.0126,0.0991,0.2459,0.3753,0.1127,0.9184,0.9994,5.3286,5.3442
5,415353,onpolicy,1500,0.0666,-0.0084,0.0702,0.2521,0.2794,0.0493,0.9842,0.9998,13.6219,13.6302
5,415353,ou,1500,0.0512,-0.0121,0.1099,0.2236,0.3522,0.1047,0.9137,0.9995,5.686,5.6999
5,441710,onpolicy,1500,0.1134,-0.015,0.0725,0.6342,0.3977,0.0367,0.9739,0.9999,12.5006,12.5121
5,441710,ou,1500,0.0609,-0.0138,0.1285,0.2545,0.3668,0.0927,0.9082,0.9996,5.5669,5.5822
5,467609,onpolicy,1500,0.0694,-0.0146,0.1116,0.2953,0.284,0.0587,0.9691,0.9998,9.4874,9.4997
5,467609,ou,1500,0.051,-0.0142,0.1022,0.2306,0.344,0.0553,0.9385,0.9993,5.6474,5.6622
