mode,family,buffer,step,reward_mean,reward_std,n
top,model-free,300k,40000,161.82,63.71,12
top,model-free,300k,80000,263.38,81.72,12
top,model-free,300k,120000,419.55,135.59,12
top,model-free,300k,160000,507.71,139.83,12
top,model-free,300k,200000,620.60,169.27,12
top,model-free,300k,240000,649.15,211.97,12
top,model-free,300k,280000,771.75,174.14,12
top,model-free,300k,320000,872.02,151.36,12
top,model-free,300k,360000,967.06,105.26,12
top,model-free,300k,400000,930.12,139.70,12
top,model-free,300k,440000,884.99,146.42,12
top,model-free,300k,480000,863.82,281.91,12
top,model-free,300k,520000,872.54,189.60,12
top,model-free,300k,560000,925.49,194.17,12
top,model-free,300k,600000,907.42,237.97,12
top,model-free,300k,640000,971.06,107.35,12
top,model-free,300k,680000,747.51,364.14,12
top,model-free,300k,720000,881.57,136.10,12
top,model-free,300k,760000,945.65,178.34,12
top,model-free,300k,800000,930.74,285.27,12
top,model-free,300k,840000,802.26,299.12,12
top,model-free,300k,880000,825.86,338.28,12
top,model-free,300k,920000,1007.90,112.55,12
top,model-free,300k,960000,993.76,176.77,12
top,model-free,300k,1000000,890.45,294.85,12
top,model-free,300k,1040000,908.19,178.38,12
top,model-free,300k,1080000,976.43,99.48,12
top,model-free,300k,1120000,939.60,268.39,12
top,model-free,300k,1160000,863.32,257.79,12
top,model-free,300k,1200000,835.41,244.11,12
top,model-free,300k,1240000,946.34,177.34,12
top,model-free,300k,1280000,917.79,184.87,12
top,model-free,300k,1320000,974.19,196.55,12
top,model-free,300k,1360000,850.05,318.58,12
top,model-free,300k,1400000,937.15,185.70,12
top,model-free,300k,1440000,993.20,140.65,12
top,model-free,300k,1480000,945.85,283.97,12
top,model-free,300k,1520000,1016.23,206.54,12
top,model-free,300k,1560000,994.86,103.72,12
top,model-free,300k,1600000,924.88,162.86,12
top,model-free,300k,1640000,996.59,132.74,12
top,model-free,300k,1680000,975.00,159.43,12
top,model-free,300k,1720000,904.98,281.09,12
top,model-free,300k,1760000,1027.02,147.04,12
top,model-free,300k,1800000,934.88,232.92,12
top,model-free,300k,1840000,841.93,250.24,12
top,model-free,300k,1880000,925.02,199.52,12
top,model-free,300k,1920000,918.33,226.75,12
top,model-free,300k,1960000,917.08,316.86,12
top,model-free,300k,2000000,942.65,150.45,12
top_buf1m,model-free,1M,40000,163.38,49.43,12
top_buf1m,model-free,1M,80000,238.12,83.32,12
top_buf1m,model-free,1M,120000,364.25,100.11,12
top_buf1m,model-free,1M,160000,394.22,87.20,12
top_buf1m,model-free,1M,200000,546.99,167.16,12
top_buf1m,model-free,1M,240000,616.13,145.45,12
top_buf1m,model-free,1M,280000,701.80,218.06,12
top_buf1m,model-free,1M,320000,838.99,182.48,12
top_buf1m,model-free,1M,360000,851.45,192.69,12
top_buf1m,model-free,1M,400000,933.65,194.11,12
top_buf1m,model-free,1M,440000,1032.27,141.55,12
top_buf1m,model-free,1M,480000,1072.18,126.96,12
top_buf1m,model-free,1M,520000,1014.15,165.13,12
top_buf1m,model-free,1M,560000,1066.29,86.63,12
top_buf1m,model-free,1M,600000,1119.88,64.07,12
top_buf1m,model-free,1M,640000,1113.45,108.16,12
top_buf1m,model-free,1M,680000,1110.26,100.46,12
top_buf1m,model-free,1M,720000,1136.00,127.35,12
top_buf1m,model-free,1M,760000,1174.33,109.39,12
top_buf1m,model-free,1M,800000,1169.89,81.08,12
top_buf1m,model-free,1M,840000,1173.72,74.10,12
top_buf1m,model-free,1M,880000,1139.18,99.09,12
top_buf1m,model-free,1M,920000,1204.29,106.96,12
top_buf1m,model-free,1M,960000,1247.03,84.47,12
top_buf1m,model-free,1M,1000000,1241.68,63.28,12
top_buf1m,model-free,1M,1040000,1222.38,77.65,12
top_buf1m,model-free,1M,1080000,1213.98,51.31,12
top_buf1m,model-free,1M,1120000,1201.41,110.57,12
top_buf1m,model-free,1M,1160000,1137.08,273.66,12
top_buf1m,model-free,1M,1200000,1209.03,75.49,12
top_buf1m,model-free,1M,1240000,1148.19,225.27,12
top_buf1m,model-free,1M,1280000,1027.38,372.23,12
top_buf1m,model-free,1M,1320000,1155.10,132.80,12
top_buf1m,model-free,1M,1360000,1211.61,151.62,12
top_buf1m,model-free,1M,1400000,1215.62,56.52,12
top_buf1m,model-free,1M,1440000,1176.75,152.77,12
top_buf1m,model-free,1M,1480000,1196.37,93.74,12
top_buf1m,model-free,1M,1520000,1068.25,262.28,12
top_buf1m,model-free,1M,1560000,1077.55,357.40,12
top_buf1m,model-free,1M,1600000,1149.01,185.28,12
top_buf1m,model-free,1M,1640000,1093.37,335.95,12
top_buf1m,model-free,1M,1680000,1153.81,230.91,12
top_buf1m,model-free,1M,1720000,1147.12,243.18,12
top_buf1m,model-free,1M,1760000,1110.04,126.76,12
top_buf1m,model-free,1M,1800000,1031.35,415.92,12
top_buf1m,model-free,1M,1840000,1093.11,307.66,12
top_buf1m,model-free,1M,1880000,1208.78,108.47,12
top_buf1m,model-free,1M,1920000,1091.32,235.59,12
top_buf1m,model-free,1M,1960000,1175.29,126.36,12
top_buf1m,model-free,1M,2000000,1182.83,73.62,12
mbq_vhead_quad,oracle+quad+Vhead,300k,40000,163.31,30.44,12
mbq_vhead_quad,oracle+quad+Vhead,300k,80000,223.18,53.58,12
mbq_vhead_quad,oracle+quad+Vhead,300k,120000,283.20,49.54,12
mbq_vhead_quad,oracle+quad+Vhead,300k,160000,334.46,55.96,12
mbq_vhead_quad,oracle+quad+Vhead,300k,200000,384.80,114.77,12
mbq_vhead_quad,oracle+quad+Vhead,300k,240000,468.66,61.60,12
mbq_vhead_quad,oracle+quad+Vhead,300k,280000,534.59,196.18,12
mbq_vhead_quad,oracle+quad+Vhead,300k,320000,560.19,182.11,12
mbq_vhead_quad,oracle+quad+Vhead,300k,360000,708.82,161.83,12
mbq_vhead_quad,oracle+quad+Vhead,300k,400000,767.25,173.86,12
mbq_vhead_quad,oracle+quad+Vhead,300k,440000,794.18,133.01,12
mbq_vhead_quad,oracle+quad+Vhead,300k,480000,825.82,139.42,12
mbq_vhead_quad,oracle+quad+Vhead,300k,520000,901.84,165.40,12
mbq_vhead_quad,oracle+quad+Vhead,300k,560000,944.03,217.84,12
mbq_vhead_quad,oracle+quad+Vhead,300k,600000,936.03,143.11,12
mbq_vhead_quad,oracle+quad+Vhead,300k,640000,918.93,144.09,12
mbq_vhead_quad,oracle+quad+Vhead,300k,680000,971.09,191.70,12
mbq_vhead_quad,oracle+quad+Vhead,300k,720000,1011.13,170.65,12
mbq_vhead_quad,oracle+quad+Vhead,300k,760000,990.60,168.11,12
mbq_vhead_quad,oracle+quad+Vhead,300k,800000,952.57,209.35,12
mbq_vhead_quad,oracle+quad+Vhead,300k,840000,1049.15,181.30,12
mbq_vhead_quad,oracle+quad+Vhead,300k,880000,1059.96,221.48,12
mbq_vhead_quad,oracle+quad+Vhead,300k,920000,1036.94,274.68,12
mbq_vhead_quad,oracle+quad+Vhead,300k,960000,902.74,233.34,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1000000,995.31,156.43,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1040000,1056.08,112.17,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1080000,1013.62,164.16,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1120000,1082.76,157.27,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1160000,1062.31,165.90,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1200000,1070.28,181.69,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1240000,1005.37,156.28,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1280000,1072.74,194.62,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1320000,1066.20,174.79,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1360000,1084.32,98.36,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1400000,1017.24,142.95,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1440000,1022.93,119.18,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1480000,1040.23,277.98,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1520000,1031.54,330.90,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1560000,969.11,253.90,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1600000,959.58,302.04,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1640000,954.94,322.73,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1680000,903.47,369.91,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1720000,881.82,277.69,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1760000,990.82,290.81,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1800000,953.36,319.50,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1840000,962.35,328.33,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1880000,956.90,305.22,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1920000,996.96,320.10,12
mbq_vhead_quad,oracle+quad+Vhead,300k,1960000,985.82,317.07,12
mbq_vhead_quad,oracle+quad+Vhead,300k,2000000,938.98,308.17,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,40000,144.37,43.77,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,80000,208.05,51.73,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,120000,280.19,96.99,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,160000,355.56,117.95,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,200000,400.54,121.01,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,240000,427.43,117.52,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,280000,497.45,101.85,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,320000,491.32,103.96,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,360000,573.93,158.94,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,400000,674.47,156.88,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,440000,700.73,219.40,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,480000,781.22,147.72,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,520000,860.35,152.75,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,560000,864.52,175.16,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,600000,960.96,166.28,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,640000,998.00,198.99,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,680000,1003.94,187.19,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,720000,1090.08,214.89,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,760000,1090.48,175.87,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,800000,1103.19,206.74,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,840000,1139.43,163.77,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,880000,1193.14,129.17,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,920000,1188.31,159.95,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,960000,1241.46,128.79,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1000000,1202.94,164.60,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1040000,1222.44,157.13,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1080000,1263.49,128.84,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1120000,1256.53,125.26,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1160000,1295.63,113.91,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1200000,1299.01,123.81,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1240000,1310.91,116.68,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1280000,1314.63,141.06,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1320000,1310.54,111.91,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1360000,1287.39,124.78,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1400000,1325.06,144.38,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1440000,1335.59,123.31,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1480000,1329.81,105.41,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1520000,1342.54,115.37,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1560000,1334.80,182.79,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1600000,1278.06,180.59,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1640000,1282.12,223.68,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1680000,1232.40,278.49,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1720000,1289.25,169.09,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1760000,1321.86,180.47,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1800000,1320.91,137.80,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1840000,1324.14,178.47,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1880000,1205.73,330.00,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1920000,1392.35,104.29,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,1960000,1361.44,159.73,12
mbq_vhead_quad_buf1m,oracle+quad+Vhead,1M,2000000,1379.95,104.34,12
